设置日期	活动开启日期	提醒内容	排期表活动内容
5月16日	5月18日	跨服联盟GVE：设置活动	"1000905：国服-拯救蚜虫-跨服
通服跨服联盟GVE S851，截止4月30日开的服+
S1-S849【✔】"
5月17日	5月18日	设置活动	自选周卡 赛季服 1-834【✔】
5月17日	5月18日	设置活动	蚁群狂欢 1~852 开服满15d，截止0503开的服【✔】
5月17日	5月18日	设置活动	新野怪连储&7充5；截止4.18的服 1~850【✔】
5月17日	5月18日	设置活动	礼包【✔】+分组预设【✔】+活动确认【✔】
5月18日	5月18日	设置活动	延长功勋商店 850【✔】
5月18日	5月18日	设置活动	联盟远征（截止4月20号开的服，S1-S850）【✔】
5月18日	5月19日	设置活动	主题活动1万物新生（截止5月3日开的服) 1-852【✔】
5月18日	5月19日	设置活动	这轮不开，等0602版本改竞技场规则
5月18日	5月23日	设置活动	VIP商店S1-S851【✔】
5月18日	5月25日	区域迁徙：设置礼包+分组	区域迁徙 S845~S849【✔】
5月18日	5月25日	本服联盟GVE：设置活动	本服联盟GVE 开S853,截止5月14日开的服【✔】
5月19日	5月20日	设置活动	活动预设【✔】+公布分组【✔】
5月20日	5月25日	区域迁徙：设置活动+公布分组	区域迁徙 S845~S849【✔】
5月21日	5月22日	设置活动	"蜂群宝藏 1~846，截止3月23日开的服
长足虎蚁、铁喙象蚁、黑棘绒蚁、银环晶蚁、璀璨猛蚁，兵种改造宝箱*2
【✔】"
5月22日	5月23日	设置活动	"战斗礼包
31328: 最强限定：战斗特供【✔】"
5月23日	5月24日	设置活动	土拨鼠【✔】、罩子【✔】、邮件【✔】
5月23日	5月25日	跨服联盟GVE：设置活动	跨服联盟GVE 开S852,截止5月7日开的服【✔】
5月24日	5月25日	设置活动	世界BOSS【1-834，205-751】【✔】
5月25日	5月25日	设置活动	延长功勋商店 851【✔】
5月25日	5月25日	设置活动	联盟远征（截止4月27号开的服，S1-S851）【✔】
5月25日	5月26日	设置活动	"落潮海岸
银环晶蚁/璀璨猛蚁自选
7星紫金巨锹甲
硬树枝
截止5.10的服务器 1～853【✔】"
5月25日	5月26日	设置活动	珍宝商店【幻彩巨蟹，潮汐舰队，秋月，蜜巢，暗卉巫灵，风雪金玲, 改造精华、溢彩圣诞主堡皮肤、幸福甜蜜行军皮肤，草木有灵，星虹军团，枯木樱龙，楼落蝶梦，卷心精灵，珍珠缀放、绒绒夹竹、浪漫乐章】【✔】
5月25日	5月26日	设置活动	拼图折扣活动 同商业化活动服务器【✔】
5月25日	5月26日	设置活动	主题活动2潮起潮落 1-853(截止5月10日开的服)【✔】
5月25日	5月27日	设置活动	"黑骑士
客户端S1-S851
小程序S205-S751【✔】"
5月25日	5月30日	设置活动	VIP商店S1-S852【✔】
5月25日	6月1日	本服联盟GVE：设置活动	本服联盟GVE 开S854,截止5月21日开的服【✔】
5月30日	5月31日	设置活动	"土拨鼠
（29145: 火力全开：进攻土拨鼠128-648）
1~852【✔】"
5月30日	5月31日	设置活动	兑换
5月30日	6月1日	跨服联盟GVE：设置活动	跨服联盟GVE 开S853,截止5月14日开的服【✔】
5月31日	6月1日	设置活动	"双倍券BP活动1~844
通用包装
（开过赛季预告的服务器）【✔】"
5月31日	6月1日	设置活动	开服满15d的服 惊喜转盘3.0 （三代蚂蚁+觉醒）+配套礼包 1-854 截止05.17开的服【✔】
5月31日	6月1日	设置活动	新变异连储&7充5；随心储;1~852，截止5.2的服【✔】
5月31日	6月1日	设置活动	世界BOSS【1-834，205-751】【✔】
6月1日	6月1日	设置活动	延长功勋商店 852【✔】
6月1日	6月1日	设置活动	联盟远征（截止5月4号开的服，S1-S852）【✔】
6月1日	6月2日	设置活动	主题活动3旱季来临（截止5月17日开的服） 1-854【✔】
6月1日	6月2日	设置活动	6/2凌晨更新完成后置！蚁后对决，全服开启1～856，（共计45天）新服需要手动开启 注意！如果不是停服期间开活动那就必须预设08:15开！！！！！！【✔】
6月1日	6月2日	设置活动	特化蚁对决1-850，截至5.3 服务器852，取到850【✔】
6月1日	6月6日	设置活动	VIP商店S1-S853【✔】
6月1日	6月8日	本服联盟GVE：设置活动	本服联盟GVE 开S855,截止5月28日开的服【✔】
6月5日	6月6日	设置活动	"战斗礼包
31328: 最强限定：战斗特供【✔】"
6月5日	6月6日	设置活动	无限寻宝，赛季服 1～844【✔】
6月6日	6月7日	设置活动	土拨鼠【✔】、罩子【✔】、邮件【✔】
6月6日	6月8日	跨服联盟GVE：设置活动	跨服联盟GVE 开S854,截止5月21日开的服【✔】
6月7日	6月8日	设置活动	野怪孵化周（1&2&3代&4代碎片宝箱），截止0509的服（开服≥31天（也就是满30天，第31天）的服务器开启）1~853【✔】
6月7日	6月8日	设置活动	世界BOSS【1-834，205-751】【✔】
6月8日	6月8日	设置活动	延长功勋商店 853【✔】
6月8日	6月8日	设置活动	联盟远征（截止5月11号开的服，S1-S853）【✔】
6月8日	6月9日	设置活动	"洞穴探险
海神之眷主堡皮肤
幻彩蜂蚁
6星幽灵螳螂/6星翡翠金龟甲
硬树枝1~855【✔】"
6月8日	6月9日	设置活动	珍宝商店【幻彩巨蟹，潮汐舰队，秋月，蜜巢，暗卉巫灵，风雪金玲, 改造精华、溢彩圣诞主堡皮肤、幸福甜蜜行军皮肤，草木有灵，星虹军团，枯木樱龙，楼落蝶梦，卷心精灵，珍珠缀放、绒绒夹竹、浪漫乐章】【✔】
6月8日	6月9日	设置活动	常规大事典(梦藤涟光头像框)+礼包 1～855(截止5.25开的服务器)【✔】
6月8日	6月9日	设置活动	主题活动4回归自然（截止5月24日开的服） 1-855【✔】
6月8日	6月10日	设置活动	"黑骑士
客户端S1-S853
小程序S205-S751【✔】"
6月8日	6月13日	设置活动	VIP商店S1-S854【✔】
6月8日	6月15日	本服联盟GVE：设置活动	本服联盟GVE 开S856,截止6月4日开的服【✔】
6月13日	6月14日	设置活动	"土拨鼠
（29145: 火力全开：进攻土拨鼠128-648）
1~xxx"
6月13日	6月14日	设置活动	兑换多一天
6月13日	6月15日	跨服联盟GVE：设置活动	"1000905：国服-拯救蚜虫-跨服
通服跨服联盟GVE Sxxx，截止x月xx日开的服+
S1-Sxxx"
6月14日	6月15日	设置活动	自选周卡 赛季服 1-844【✔】
6月14日	6月15日	设置活动	"进化连冲-赛季服&7充5
非赛季服兵种改造；截止XXX的服1~XXX"
6月14日	6月15日	设置活动	世界BOSS【1-834，205-751】
6月15日	6月15日	设置活动	延长功勋商店
6月15日	6月15日	设置活动	联盟远征（截止x月x号开的服，S1-Sxx）
6月15日	6月16日	设置活动	端午节签到 全服开 新服手动开
6月15日	6月16日	设置活动	主题活动1万物新生（截止5月3日开的服) 1-852
6月15日	6月20日	设置活动	VIP商店S1-Sxxx
6月15日	6月22日	本服联盟GVE：设置活动	本服联盟GVE 开Sxxx,截止x月xx日开的服
6月16日	6月17日	设置活动	特化蚁对决1-xx，截至xx.xx 服务器xx，取到xx
6月18日	6月19日	设置活动	"蜂群宝藏 1~xxx，截止x月xx日开的服
长足虎蚁、铁喙象蚁、黑棘绒蚁、银环晶蚁、璀璨猛蚁、兵种改造宝箱*2"
6月19日	6月20日	设置活动	"战斗礼包
31328: 最强限定：战斗特供"
6月20日	6月21日	设置活动	土拨鼠、罩子、邮件
6月20日	6月22日	跨服联盟GVE：设置活动	跨服联盟GVE 开Sxxx,截止x月xx日开的服
6月21日	6月22日	设置活动	世界BOSS【1-834，205-751】
6月22日	6月22日	设置活动	延长功勋商店
6月22日	6月22日	设置活动	联盟远征（截止x月x号开的服，S1-Sxx）
6月22日	6月23日	设置活动	"落潮海岸
野怪皮肤（6选一）
5代蚂蚁折扣宝箱
7星兰花诡叶螳
进化礼盒
硬树枝
截止xx.x的服务器 1～XXX"
6月22日	6月23日	设置活动	珍宝商店【幻彩巨蟹，潮汐舰队，秋月，蜜巢，暗卉巫灵，风雪金玲, 改造精华、溢彩圣诞主堡皮肤、幸福甜蜜行军皮肤，草木有灵，星虹军团，枯木樱龙，楼落蝶梦，卷心精灵，珍珠缀放、绒绒夹竹、浪漫乐章】
6月22日	6月23日	设置活动	5代买蚂蚁送觉醒活动（5代觉醒）
6月22日	6月23日	设置活动	主题活动2潮起潮落 1-853(截止5月10日开的服)
6月22日	6月24日	设置活动	"黑骑士
客户端S1-S853
小程序S205-S751"
6月22日	6月27日	设置活动	VIP商店S1-Sxxx
6月22日	6月29日	本服联盟GVE：设置活动	本服联盟GVE 开Sxxx,截止x月xx日开的服
6月27日	6月28日	设置活动	"土拨鼠
（29145: 火力全开：进攻土拨鼠128-648）
1~xxx"
6月27日	6月28日	设置活动	兑换
6月27日	6月29日	跨服联盟GVE：设置活动	跨服联盟GVE 开Sxxx,截止x月xx日开的服
6月28日	6月29日	设置活动	开服满15d的服 惊喜转盘3.0 （三代蚂蚁+觉醒）+配套礼包 1-xxx 截止xx.xx开的服
6月28日	6月29日	设置活动	蚁群狂欢 1~xxx
6月28日	6月29日	设置活动	新野怪连储&7充5；截止XXX的服 1~XXX
6月28日	6月29日	设置活动	世界BOSS【1-834，205-751】
6月29日	6月29日	设置活动	延长功勋商店
6月29日	6月29日	设置活动	联盟远征（截止x月x号开的服，S1-Sxx）
6月29日	6月30日	设置活动	主题活动3旱季来临（截止5月17日开的服） 1-854
6月29日	7月4日	设置活动	VIP商店S1-Sxxx
6月29日	7月6日	本服联盟GVE：设置活动	本服联盟GVE 开Sxxx,截止x月xx日开的服
7月1日	7月2日	设置活动	特化蚁对决1-xx，截至xx.xx 服务器xx，取到xx
7月2日	7月3日	设置活动	"双倍券BP活动1~xxx
通用包装
（开过赛季预告的服务器）"
7月3日	7月4日	设置活动	"战斗礼包
31328: 最强限定：战斗特供"
7月4日	7月5日	设置活动	土拨鼠、罩子、邮件
7月4日	7月6日	跨服联盟GVE：设置活动	跨服联盟GVE 开Sxxx,截止x月xx日开的服
7月5日	7月6日	设置活动	野怪孵化周（1&2&3代&4代碎片宝箱），截止xxxx的服（开服≥31天（也就是满30天，第31天）的服务器开启）1~xxx
7月5日	7月6日	设置活动	世界BOSS【1-834，205-751】
7月6日	7月6日	设置活动	延长功勋商店
7月6日	7月6日	设置活动	联盟远征（截止x月x号开的服，S1-Sxx）
7月6日	7月7日	设置活动	"7星棘刺毒尾蝎 标头展示活动;1~xxx
强力野怪——{name}"
7月6日	7月7日	设置活动	"蚁群派对
幻彩蜂蚁/银环晶蚁/璀璨猛蚁
7星棘刺毒尾蝎
硬树枝"
7月6日	7月7日	设置活动	珍宝商店【幻彩巨蟹，潮汐舰队，秋月，蜜巢，暗卉巫灵，风雪金玲, 改造精华、溢彩圣诞主堡皮肤、幸福甜蜜行军皮肤，草木有灵，星虹军团，枯木樱龙，楼落蝶梦，卷心精灵，珍珠缀放、绒绒夹竹、浪漫乐章】
7月6日	7月7日	设置活动	主题活动4回归自然（截止5月24日开的服） 1-855
7月6日	7月8日	设置活动	"黑骑士
客户端S1-S853
小程序S205-S751"
7月6日	7月11日	设置活动	VIP商店S1-Sxxx
7月6日	7月13日	本服联盟GVE：设置活动	本服联盟GVE 开Sxxx,截止x月xx日开的服
7月11日	7月12日	设置活动	"土拨鼠
（29145: 火力全开：进攻土拨鼠128-648）
1~xxx"
7月11日	7月12日	设置活动	兑换多一天
7月11日	7月13日	跨服联盟GVE：设置活动	"1000905：国服-拯救蚜虫-跨服
通服跨服联盟GVE Sxxx，截止x月xx日开的服+
S1-Sxxx"
7月12日	7月13日	设置活动	无限寻宝，赛季服 1～xxx
7月12日	7月13日	设置活动	新变异连储&7充5；随心储;1~xx，截止xx.xx的服
7月12日	7月13日	设置活动	世界BOSS【1-834，205-751】
7月13日	7月13日	设置活动	延长功勋商店
7月13日	7月13日	设置活动	联盟远征（截止x月x号开的服，S1-Sxx）
7月13日	7月14日	设置活动	主题活动1万物新生（截止5月3日开的服) 1-852
7月13日	7月18日	设置活动	VIP商店S1-Sxxx
7月13日	7月20日	本服联盟GVE：设置活动	本服联盟GVE 开Sxxx,截止x月xx日开的服
7月15日	7月16日	设置活动	"蜂群宝藏 1~XXX，截止X月XX日开的服
长足虎蚁、铁喙象蚁、黑棘绒蚁、银环晶蚁、璀璨猛蚁、幻彩蜂蚁、兵种改造宝箱*2"
7月16日	7月17日	设置活动	特化蚁对决1-xx，截至xx.xx 服务器xx，取到xx
7月17日	7月18日	设置活动	"战斗礼包
31328: 最强限定：战斗特供"
7月18日	7月19日	设置活动	土拨鼠、罩子、邮件
7月18日	7月20日	跨服联盟GVE：设置活动	跨服联盟GVE 开Sxxx,截止x月xx日开的服
7月19日	7月20日	设置活动	蚁后对决，全服开启1～xxx，（共计45天）新服需要手动开启 注意！如果不是停服期间开活动那就必须预设08:15开！！！！！！【✔】
7月20日	7月20日	设置活动	延长功勋商店
7月20日	7月20日	设置活动	联盟远征（截止x月x号开的服，S1-Sxx）
7月20日	7月21日	设置活动	"洞穴探险（30元折扣礼包）
莓蛛突击队行军皮肤
7星紫金巨锹甲/7星兰花诡叶螳
硬树枝"
7月20日	7月21日	设置活动	珍宝商店【幻彩巨蟹，潮汐舰队，秋月，蜜巢，暗卉巫灵，风雪金玲, 改造精华、溢彩圣诞主堡皮肤、幸福甜蜜行军皮肤，草木有灵，星虹军团，枯木樱龙，楼落蝶梦，卷心精灵，珍珠缀放、绒绒夹竹、浪漫乐章】
7月20日	7月21日	设置活动	常规小事典+礼包 1～xxx
7月20日	7月21日	设置活动	主题活动2潮起潮落 1-853(截止5月10日开的服)
7月20日	7月22日	设置活动	"黑骑士
客户端S1-S853
小程序S205-S751"
7月20日	7月25日	设置活动	VIP商店S1-Sxxx
7月20日	7月27日	本服联盟GVE：设置活动	本服联盟GVE 开Sxxx,截止x月xx日开的服
7月25日	7月26日	设置活动	"土拨鼠
（29145: 火力全开：进攻土拨鼠128-648）
1~xxx"
7月25日	7月26日	设置活动	兑换多一天
7月25日	7月27日	跨服联盟GVE：设置活动	跨服联盟GVE 开Sxxx,截止x月xx日开的服
7月26日	7月27日	设置活动	开服满15d的服 惊喜转盘3.0 （三代蚂蚁+觉醒）+配套礼包 1-xxx 截止xx.xx开的服
7月26日	7月27日	设置活动	"进化连冲-赛季服&7充5
非赛季服兵种改造；截止XXX的服1~XXX"
7月27日	7月27日	设置活动	延长功勋商店
7月27日	7月27日	设置活动	联盟远征（截止x月x号开的服，S1-Sxx）
7月27日	7月28日	设置活动	主题活动3旱季来临（截止5月17日开的服） 1-854
7月27日	8月1日	设置活动	VIP商店S1-Sxxx
7月28日	7月29日	设置活动	蚁群狂欢 1~xxx 开服满15d，截止xxxx开的服
7月28日	7月29日	设置活动	十连抽1~xxx，新服手动开启
7月31日	8月1日	设置活动	"战斗礼包
31328: 最强限定：战斗特供"
8月1日	8月2日	设置活动	土拨鼠、罩子、邮件
